match_id,season_year,competition,date,home,away,home_score,away_score,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
29154,2526,PL,2026-05-24,NOT,BOU,1,1,32,3.4221,1.4783,30-45_to_45-60,4,0.0685,0.1723,0.8708,0.1584,0.0685,0.1723,-0.1038,0.1768,0.2145,-0.0377,0.7622,0.0,0.7622,0.0151,0.7312,-0.7161,0.1908,0.0614,0.1294,0.8708,0.1584,0.7124
29155,2526,PL,2026-05-24,SUN,CHE,2,1,30,3.2607,1.7827,30-45_to_45-60,3,0.0561,0.3846,0.1441,0.0665,0.0561,0.3846,-0.3285,0.2541,0.0,0.2541,0.1543,0.4551,-0.3009,1.5006,0.0188,1.4819,0.2265,0.0,0.2265,0.1441,0.0665,0.0776
29156,2526,PL,2026-05-24,TOT,EVE,1,0,29,1.9407,0.9666,15-30_to_30-45,0,0.3229,0.0,0.0,0.1221,0.3229,0.0,0.3229,0.0214,0.0191,0.0022,1.0961,0.1272,0.9689,0.2163,0.0,0.2163,0.0155,0.0,0.0155,0.0,0.1221,-0.1221
29157,2526,PL,2026-05-24,WHU,LED,3,0,29,4.722,1.8415,30-45_to_45-60,1,0.0,0.6949,0.7623,0.2186,0.0,0.6949,-0.6949,0.1239,0.0221,0.1018,0.0282,0.8028,-0.7746,1.3138,0.2468,1.067,0.5087,0.0,0.5087,0.7623,0.2186,0.5438
31180,2627,PL,2026-08-21,ARS,COV,3,0,24,2.4126,0.5233,60-75_to_75-90plus,0,0.3355,0.0128,0.2105,0.5053,0.3355,0.0128,0.3228,0.6287,0.0,0.6287,0.2127,0.0324,0.1804,0.2304,0.0,0.2304,0.2364,0.0079,0.2285,0.2105,0.5053,-0.2948
31181,2627,PL,2026-08-22,HUL,MUN,2,0,29,3.5648,0.6545,0-15_to_15-30,1,0.0263,0.0806,0.0,0.675,0.0263,0.0806,-0.0543,1.1337,0.5335,0.6002,0.5256,0.1711,0.3545,0.0,0.162,-0.162,0.1005,0.1566,-0.0561,0.0,0.675,-0.675
31182,2627,PL,2026-08-22,EVE,CRY,2,0,27,3.6818,0.8315,30-45_to_45-60,0,0.0855,0.8905,0.1247,0.1917,0.0855,0.8905,-0.805,0.0281,0.3072,-0.2791,0.2412,0.5249,-0.2837,0.805,0.2572,0.5478,0.1664,0.0595,0.1069,0.1247,0.1917,-0.067
31183,2627,PL,2026-08-22,IPS,SUN,2,1,21,2.7619,0.7426,0-15_to_15-30,3,0.0323,0.5177,0.0951,0.0259,0.0323,0.5177,-0.4855,0.6041,0.347,0.2571,0.1085,0.1149,-0.0065,0.6891,0.1719,0.5172,0.0555,0.0,0.0555,0.0951,0.0259,0.0692
31184,2627,PL,2026-08-22,NOT,LED,0,1,23,1.1229,0.233,60-75_to_75-90plus,5,0.0,0.0121,0.0736,0.1371,0.0,0.0121,-0.0121,0.0737,0.0714,0.0023,0.1437,0.0,0.1437,0.1359,0.1856,-0.0496,0.2297,0.0602,0.1696,0.0736,0.1371,-0.0635
31185,2627,PL,2026-08-22,BRE,TOT,3,0,35,4.8449,1.614,45-60_to_60-75,0,1.1213,0.056,0.5855,0.0639,1.1213,0.056,1.0653,0.0755,0.0,0.0755,0.5765,0.017,0.5595,1.7064,0.3442,1.3622,0.0234,0.2752,-0.2518,0.5855,0.0639,0.5216
